SOURCE_DISPLAY_NAME,SOURCE_DRIVER_CLASS,SOURCE_JDBC_URL,SOURCE_USERNAME,SOURCE_ODBC_DSN,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_CATALOG,SOURCE_TABLE,SOURCE_COLUMN,TARGET_DISPLAY_NAME,TARGET_DRIVER_CLASS,TARGET_JDBC_URL,TARGET_USERNAME,TARGET_ODBC_DSN,TARGET_DATABASE,TARGET_SCHEMA,TARGET_CATALOG,TARGET_TABLE,TARGET_COLUMN
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOGIN","ID_LOGIN"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOGIN","ID_USUARIO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOGIN","USUARIO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOGIN","SENHA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PERFIL","ID_PERFIL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PERFIL","DESC_PERFIL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOGIN_PERFIL","ID_PERFIL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOGIN_PERFIL","ID_LOGIN"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA","ID_PELADA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA","ID_LOCAL_PELADA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA","DESC_PELADA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA","DATA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA","VALOR"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA","HORA_FINAL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA","HORA_INICIAL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PLANO_PAGAMENTO","ID_PLANO_PAGAMENTO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PLANO_PAGAMENTO","DESC_PLANO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PLANO_PAGAMENTO","VALOR_PLANO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO","ID_USUARIO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO","ID_PLANO_PAGAMENTO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO","NOME"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO","CPF"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO","APELIDO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO","EMAIL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA_USUARIO","ID_PELADA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA_USUARIO","ID_USUARIO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_PELADA_USUARIO","DONO_PELADA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_ENDERECO","ID_ENDERECO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_ENDERECO","PRINCIPAL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_ENDERECO","DESC_ENDERECO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_ENDERECO","CEP"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_TELEFONE","ID_TELEFONE"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_TELEFONE","PRINCIPAL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_TELEFONE","DESC_TELEFONE"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOCAL_PELADA","ID_LOCAL_PELADA"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOCAL_PELADA","DESC_LOCAL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOCAL_PELADA","ENDERECO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOCAL_PELADA","EMAIL"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_LOCAL_PELADA","TELEFONE"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO_ENDERECO","ID_USUARIO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO_ENDERECO","ID_ENDERECO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO_TELEFONE","ID_USUARIO"
,,,,,"","","","",,"Modelo de Dados",,,,,"Modelo de Dados","","","TB_USUARIO_TELEFONE","ID_TELEFONE"
